##FastQC	0.11.2
>>Basic Statistics	pass
#Measure	Value
Filename	chipseq_chunk22.fastq
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	7909
Sequences flagged as poor quality	0
Sequence length	36
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.004425338222276	40.0	39.0	40.0	38.0	40.0
2	38.99721835883171	40.0	39.0	40.0	38.0	40.0
3	38.984068782399795	40.0	39.0	40.0	38.0	40.0
4	38.97281577949172	40.0	39.0	40.0	38.0	40.0
5	38.952838538374	40.0	39.0	40.0	38.0	40.0
6	39.059046655708684	40.0	39.0	40.0	38.0	40.0
7	39.031988873435324	40.0	39.0	40.0	38.0	40.0
8	39.012011632317616	40.0	39.0	40.0	38.0	40.0
9	39.01302313819699	40.0	39.0	40.0	38.0	40.0
10	39.02023011758756	40.0	39.0	40.0	38.0	40.0
11	39.10228853205209	40.0	39.0	40.0	38.0	40.0
12	39.053230496902266	40.0	39.0	40.0	38.0	40.0
13	38.63952459223669	40.0	39.0	40.0	37.0	40.0
14	39.04779365280061	40.0	39.0	40.0	38.0	40.0
15	39.029460108736885	40.0	39.0	40.0	38.0	40.0
16	39.02920723226704	40.0	39.0	40.0	38.0	40.0
17	39.019977241117715	40.0	39.0	40.0	38.0	40.0
18	38.99266658237451	40.0	39.0	40.0	37.0	40.0
19	38.9715513971425	40.0	39.0	40.0	38.0	40.0
20	38.95802250600582	40.0	39.0	40.0	38.0	40.0
21	39.01605765583513	40.0	39.0	40.0	38.0	40.0
22	38.952838538374	40.0	39.0	40.0	38.0	40.0
23	38.96257428246302	40.0	39.0	40.0	38.0	40.0
24	38.912378303198885	40.0	39.0	40.0	38.0	40.0
25	38.875079023896824	40.0	39.0	40.0	37.0	40.0
26	38.78758376533064	40.0	39.0	40.0	37.0	40.0
27	38.71778985965356	40.0	39.0	40.0	37.0	40.0
28	38.56935137185485	40.0	39.0	40.0	36.0	40.0
29	38.680490580351496	40.0	39.0	40.0	36.0	40.0
30	38.65254773043368	40.0	39.0	40.0	36.0	40.0
31	38.55696042483247	40.0	39.0	40.0	36.0	40.0
32	38.483120495637884	40.0	39.0	40.0	36.0	40.0
33	38.45151093690732	40.0	39.0	40.0	36.0	40.0
34	38.37906182829688	40.0	39.0	40.0	36.0	40.0
35	38.34555569604248	40.0	39.0	40.0	35.0	40.0
36	38.2956125932482	40.0	39.0	40.0	35.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1	1	0.33783089595590354
1	2	0.34180127742627775
1	3	0.4887616087615996
1	4	0.5586403873903762
1	5	-0.5923868492618425
1	6	0.44360373422871646
1	7	0.2789769027269031
1	8	0.47944055944055464
1	9	-3.121720709845718
1	10	0.5752600871350992
1	11	0.21763666888666933
1	12	-6.358701067451058
1	13	0.6298987123987203
1	14	-0.20968533781033472
1	15	0.28934107559108924
1	16	0.38949989824990183
1	17	-1.369085752210779
1	18	0.41945237632737076
1	19	-0.0759624403374346
1	20	0.4903574897324745
1	21	-1.4104281366781208
1	22	0.35799119861619744
1	23	-0.3207653920154101
1	24	0.23583273208272004
1	25	0.46385551948051074
1	26	0.6303691909941875
1	27	-0.5695219132719203
1	28	0.9546405677655727
1	29	0.9391810966810823
1	30	0.32866388241386346
1	31	0.04798014485515978
1	32	0.38072681947681275
1	33	0.6673483923484085
1	34	-0.10803127428126658
1	35	-1.182540769415752
1	36	-1.1371661902911896
2	1	0.7544975626225678
2	2	0.42513461075961345
2	3	0.4887616087615996
2	4	0.5586403873903762
2	5	0.6576131507381575
2	6	0.6102704008953808
2	7	0.3623102360602388
2	8	0.14610722610721893
2	9	-1.2050540431790537
2	10	0.5752600871350992
2	11	0.30097000222000503
2	12	0.3079655992156063
2	13	0.713232045732056
2	14	-0.626352004476999
2	15	0.039341075591089236
2	16	0.47283323158323753
2	17	0.4642475811225566
2	18	-1.163880957005965
2	19	0.007370892995901102
2	20	0.5736908230658102
2	21	-0.07709480334478513
2	22	0.6079911986161974
2	23	0.3459012746512542
2	24	-1.0975006012506157
2	25	0.38052218614717503
2	26	0.21370252432752324
2	27	0.26381142006141545
2	28	0.9546405677655727
2	29	1.1058477633477466
2	30	1.0786638824138635
2	31	0.8813134781884955
2	32	0.797393486143477
2	33	-0.3326516076515915
2	34	0.6419687257187334
2	35	-0.18254076941575192
2	36	0.029500476375474705
3	1	0.8878308959559007
3	2	0.8918012774262749
3	3	0.7887616087615967
3	4	0.8586403873903734
3	5	0.9576131507381547
3	6	0.7436037342287136
3	7	0.8289769027269003
3	8	0.7794405594405518
3	9	0.9282792901542791
3	10	0.6752600871351007
3	11	0.7676366688866665
3	12	0.9412989325489391
3	13	1.1798987123987175
3	14	-0.15968533781033756
3	15	0.8393410755910864
3	16	0.5394998982499004
3	17	0.5309142477892195
3	18	0.16945237632737076
3	19	0.37403755966256824
3	20	0.6403574897324731
3	21	0.8895718633218763
3	22	0.9079911986161946
3	23	0.7792346079845913
3	24	0.6358327320827186
3	25	0.4138555194805136
3	26	-0.4196308090058096
